"";"ï..Participant_Order";"MC_Order";"Participant_Code";"Authorise_Fotos";"W_Language";"Age";"Height";"Sho_wid";"Sex";"Nationality";"N_Language";"HCLE";"Tech";"Tech_t";"ERR";"RN_Type";"condition";"measurement"
"61";"PO21";"SDEL";"P20";1;"DT";27;1.87;45;"m";"DE";"DT";"UEng";1;20;1;"SER";"i.G.I.2";"4"
"62";"PO22";"SLED";"P21";1;"DT";21;1.96;50;"m";"CN";"ZH";"HSCE";1;3;1;"SER";"i.G.I.2";NA
"63";"PO23";"SLDE";"P22";1;"EN";25;1.77;46;"m";"DE";"DE";"Ueng";1;40;1;"SER";"i.G.I.2";"4"
"64";"PO24";"SELD";"P24";1;"CA";26;1.7;40;"f";"ES";"ES";"UNS";0;NA;1;"ACAD";"i.G.I.2";"1"
"65";"PO25";"SDLE";"P25";0;"DT";27;1.78;41;"m";"CM";"FR";"Ueng";1;2;0;"SF";"i.G.I.2";"4"
"66";"PO26";"SDEL";"P26";1;"DT";24;1.83;43;"m";"DE";"DT";"Ueng";1;40;0;"SER";"i.G.I.2";"1"
"67";"PO27";"SLED";"P27";1;"ES";24;1.81;45;"m";"ES";"ES";"Ueng";1;40;0;"SER";"i.G.I.2";"2"
"68";"PO28";"SLDE";"P28";1;"DT";24;1.83;45;"m";"DE";"DT";"Uart";0;NA;0;"SER";"i.G.I.2";"3"
"69";"PO29";"SEDL";"P29";1;"CA";24;1.6;38;"f";"ES";"CA";"Ueng";0;0;0;"SER";"i.G.I.2";"2"
"70";"PO30";"SELD";"P30";1;"ES";24;1.74;43;"m";"ES";"ES";"Ueng";1;10;0;"SER";"i.G.I.2";"4"
"71";"PO31";"SEDL";"P43";1;"ES";25;1.7;40;"f";"ES";"ES";"Ueng";1;2;0;"SER";"i.G.I.2";"1"
"72";"PO32";"SELD";"P44";1;"DT";22;1.78;43;"m";"DE";"DT";"HSE";1;20;0;"ACAD";"i.G.I.2";"2"
"73";"PO33";"SDLE";"P45";1;"DT";25;1.89;46;"m";"DE";"DT";"Ueng";1;5;1;"IND";"i.G.I.2";"2"
"74";"PO34";"LEDS";"P38";1;"ES";26;1.78;43;"m";"ES";"ES";"Ueng";1;40;1;"SF";"i.G.I.2";"2"
"75";"PO35";"LSDE";"P39";1;"DT";27;1.72;43;"f";"DE";"DT";"Ueng";1;60;1;"ACAD";"i.G.I.2";"3"
"76";"PO36";"EDLS";"P33";1;"DT";20;1.68;42;"m";"HG";"HG";"HSE";1;25;1;"SER";"i.G.I.2";"2"
"77";"PO37";"ESDL";"P31";1;"ES";25;1.835;44;"m";"ES";"ES";"Ueng";1;8;0;"SER";"i.G.I.2";"1"
"78";"PO38";"ESLD";"P32";1;"DT";27;1.82;44;"m";"DE";"DT";"Ueng";1;20;1;"SER";"i.G.I.2";"1"
"79";"PO39";"LDES";"P41";0;"DT";23;1.93;49;"m";"CR";"CR/DT";"Ueng";1;70;0;"IND";"i.G.I.2";"2"
"80";"PO40";"LESD";"P37";1;"DT";23;1.68;44;"f";"DE";"DT";"UOth";0;NA;0;"SF";"i.G.I.2";"1"
"81";"PO1";"DLES";"P1";1;"DT";25;1.85;50;"m";"DE";"DT";"Ueng";1;40;0;"SF";"i.G.I.3";"5"
"82";"PO2";"DLSE";"P2";1;"DT";50;1.68;39;"f";"DE";"RO";"UNS";0;NA;0;"SF";"i.G.I.3";"5"
"83";"PO3";"DESL";"P3";1;"DT";54;1.82;44;"m";"DE";"RO";"UEng";1;5;0;"SF";"i.G.I.3";"1"
"84";"PO4";"DELS";"P4";1;"DT";20;1.89;45;"m";"DE";"DT";"UEco";0;NA;0;"SF";"i.G.I.3";"5"
"85";"PO5";"DSLE";"P5";0;"DT";25;1.83;42;"m";"DE";"DT";"UEco & UArt";1;2;1;"IND";"i.G.I.3";"2"
"86";"PO6";"DSEL";"P6";1;"DT";27;1.95;45;"m";"DE";"DT";"UEng";1;15;0;"SF";"i.G.I.3";"2"
"87";"PO7";"DLES";"P7";1;"DT";21;1.73;43;"m";"CN";"ZH";"UEng";0;0;1;"SF";"i.G.I.3";"5"
"88";"PO8";"DLSE";"P8";0;"DT";28;1.83;48;"m";"DE";"DT";"UEng";1;40;1;"ACAD";"i.G.I.3";"1"
"89";"PO9";"DESL";"P9";1;"DT";33;1.83;47;"m";"IR";"UF";"Ueng";1;2.5;NA;"";"i.G.I.3";"2"
"90";"PO10";"DELS";"P10";1;"ES";25;1.84;45;"m";"ES";"ES";"Ueng";1;40;1;"SF";"i.G.I.3";"4"
"91";"PO11";"DSLE";"P11";1;"CA";29;1.8;47;"m";"ES";"ES";"HSE";1;7;1;"IND";"i.G.I.3";"5"
"92";"PO12";"DSEL";"P12";1;"DT";26;1.73;42;"f";"DE";"DT";"Ueng";1;40;0;"SF";"i.G.I.3";"5"
"93";"PO13";"DLES";"P13";1;"DT";26;1.75;41;"f";"DE";"DT";"UNS";1;25;0;"SF";"i.G.I.3";"5"
"94";"PO14";"DLSE";"P14";1;"DT";26;1.65;40;"f";"DE";"DT";"UNS";1;5;0;"SF";"i.G.I.3";"5"
"95";"PO15";"DESL";"P15";1;"DT";23;1.7;40;"f";"CZ";"CZ";"HSE";0;NA;0;"SER";"i.G.I.3";"2"
"96";"PO16";"DELS";"P16";1;"DT";26;1.8;44;"m";"DE";"DT";"Ueng";1;7;1;"SER";"i.G.I.3";"2"
"97";"PO17";"DSLE";"P17";1;"EN";20;1.8;43;"m";"SY";"AR";"HSE";1;4;1;"ACAD";"i.G.I.3";"1"
"98";"PO18";"DSEL";"P18";1;"DT";23;1.78;46;"m";"DE";"DT";"Ueng";1;20;0;"IND";"i.G.I.3";"1"
"99";"PO19";"DLES";"P34";1;"DT";23;1.82;47;"m";"DE";"DT";"UNS";1;2;1;"SF";"i.G.I.3";"4"
